n,game,algorithm,dimension,time,number of moves,number of states,won,state space,solution: car,solution: direction
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,P,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,O,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,D,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,O,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,C,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,O,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,X,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Q,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,C,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Q,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Y,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,P,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Q,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,T,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,C,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Q,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,K,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,L,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,X,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,B,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,R,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,L,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,C,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,B,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,T,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,X,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,C,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,B,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,K,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Q,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,R,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,P,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,T,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,O,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Q,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,C,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,E,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,G,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,X,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,R,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,P,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,B,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,T,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,X,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,P,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Y,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,X,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,R,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,B,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,X,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Y,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,E,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,B,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,T,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,X,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Y,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,B,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,C,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,O,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,P,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,X,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,K,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,T,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,O,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,C,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,K,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,P,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Q,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,E,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,P,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,K,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,L,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,E,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,C,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,G,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Y,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,O,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,G,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Y,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,L,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,K,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,T,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Q,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,O,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,R,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,P,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,T,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,G,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Q,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,R,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,B,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,G,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,O,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Q,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,X,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,B,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,X,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,B,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,X,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,P,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,G,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,K,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,O,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,G,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,L,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,O,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,B,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,G,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Y,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,O,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Y,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,X,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,G,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,G,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Q,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,S,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,K,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,G,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Q,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,X,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Y,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Q,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,X,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,G,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Q,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,C,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,K,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,B,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,S,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,G,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,D,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,B,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,O,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,G,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,D,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,S,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,E,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,C,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Y,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,S,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,X,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,X,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,B,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,C,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,E,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,X,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,B,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,O,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,E,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,O,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,L,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,G,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,E,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,L,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,C,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,B,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,L,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,O,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,L,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,O,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Q,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,B,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,O,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Q,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,X,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,B,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Y,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,S,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,X,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,G,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,T,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Q,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,G,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Y,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,R,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,K,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,T,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Y,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,G,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,B,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Q,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,C,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,O,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,T,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,D,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,O,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,J,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,R,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,D,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,R,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,O,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,K,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,R,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,D,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Y,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,T,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,J,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,R,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,J,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,O,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,S,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Y,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,B,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,J,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,R,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,J,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,G,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,W,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,T,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,J,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,R,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,T,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,L,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,D,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,B,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,R,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,K,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,T,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,P,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,G,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,E,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Y,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,R,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,P,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,R,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,G,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,Y,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,K,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,T,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,B,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,U,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,K,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,P,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,P,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,V,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,R,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,P,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,A,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,E,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,P,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,G,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,D,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,N,-1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,B,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,O,1
3,9x9_6,hillclimber,9,90.525014,2157,3682,1,3683,D,1
